Date,Julian,Station,Standard,ZipCodes,Scope,DayAirTmpAvg.Value,DayAirTmpAvg.Qc,DayAirTmpAvg.Unit,DayAirTmpMax.Value,DayAirTmpMax.Qc,DayAirTmpMax.Unit,DayAirTmpMin.Value,DayAirTmpMin.Qc,DayAirTmpMin.Unit,DayDewPnt.Value,DayDewPnt.Qc,DayDewPnt.Unit,DayEto.Value,DayEto.Qc,DayEto.Unit,DayPrecip.Value,DayPrecip.Qc,DayPrecip.Unit,DayRelHumAvg.Value,DayRelHumAvg.Qc,DayRelHumAvg.Unit,DayRelHumMax.Value,DayRelHumMax.Qc,DayRelHumMax.Unit,DayRelHumMin.Value,DayRelHumMin.Qc,DayRelHumMin.Unit,DaySoilTmpAvg.Value,DaySoilTmpAvg.Qc,DaySoilTmpAvg.Unit,DaySolRadAvg.Value,DaySolRadAvg.Qc,DaySolRadAvg.Unit,DayVapPresAvg.Value,DayVapPresAvg.Qc,DayVapPresAvg.Unit,DayWindRun.Value,DayWindRun.Qc,DayWindRun.Unit,DayWindSpdAvg.Value,DayWindSpdAvg.Qc,DayWindSpdAvg.Unit
2024-02-21,52,2,metric,93624,daily,11.4, ,(C),17.5, ,(C),6.3, ,(C),9.7, ,(C),2.17, ,(mm),1.2, ,(mm),89, ,(%),100, ,(%),61, ,(%),14.2, ,(C),166, ,(W./sq.m),1.2, ,(kPa),144.9, ,(m/s),1.7, ,(m/s)
2024-02-22,53,2,metric,93624,daily,11.1, ,(C),18, ,(C),4.8, ,(C),8, ,(C),2.57, ,(mm),0.1, ,(mm),81, ,(%),100, ,(%),48, ,(%),14.2, ,(C),199, ,(W./sq.m),1.1, ,(kPa),112.1, ,(m/s),1.3, ,(m/s)
2024-02-23,54,2,metric,93624,daily,10.8, ,(C),18, ,(C),5.7, ,(C),8.4, ,(C),1.97, ,(mm),0.1, ,(mm),85, ,(%),100, ,(%),56, ,(%),14.2, ,(C),147, ,(W./sq.m),1.1, ,(kPa),132.3, ,(m/s),1.5, ,(m/s)
2024-02-24,55,2,metric,93624,daily,12.6, ,(C),21.4, ,(C),5.3, ,(C),8.7, ,(C),2.67, ,(mm),0, ,(mm),77, ,(%),100, ,(%),49, ,(%),14.1, ,(C),184, ,(W./sq.m),1.1, ,(kPa),99.6, ,(m/s),1.2, ,(m/s)
2024-02-25,56,2,metric,93624,daily,13.3, ,(C),22.2, ,(C),4.5, ,(C),9.1, ,(C),2.52, ,(mm),0, ,(mm),76, ,(%),100, ,(%),43, ,(%),14.4, ,(C),162, ,(W./sq.m),1.2, ,(kPa),116, ,(m/s),1.3, ,(m/s)
2024-02-26,57,2,metric,93624,daily,11.9, ,(C),16.3, ,(C),6.8, ,(C),9.4, ,(C),1.04, ,(mm),0, ,(mm),85, ,(%),100, ,(%),65, ,(%),14.6, ,(C),79, ,(W./sq.m),1.2, ,(kPa),152.5, ,(m/s),1.8, ,(m/s)
2024-02-27,58,2,metric,93624,daily,11.6, ,(C),16.7, ,(C),6.8, ,(C),7.5, ,(C),2.87, ,(mm),0, ,(mm),76, ,(%),99, ,(%),47, ,(%),14.4, ,(C),180, ,(W./sq.m),1, ,(kPa),270.8, ,(m/s),3.1, ,(m/s)
2024-02-28,59,2,metric,93624,daily,11.8, ,(C),20.5, ,(C),3.3, ,(C),6.5, ,(C),2.68, ,(mm),0, ,(mm),70, ,(%),100, ,(%),44, ,(%),14.3, ,(C),180, ,(W./sq.m),1, ,(kPa),102, ,(m/s),1.2, ,(m/s)
2024-02-29,60,2,metric,93624,daily,12.4, ,(C),19.1, ,(C),5.1, ,(C),7.6, ,(C),3.2, ,(mm),0, ,(mm),73, ,(%),99, ,(%),47, ,(%),14.3, ,(C),170, ,(W./sq.m),1, ,(kPa),310, ,(m/s),3.6, ,(m/s)
2024-03-01,61,2,metric,93624,daily,12.9, ,(C),17.5, ,(C),9.7, ,(C),10, ,(C),2.02, ,(mm),4.9, ,(mm),82, ,(%),99, ,(%),62, ,(%),14.3, ,(C),123, ,(W./sq.m),1.2, ,(kPa),403.4,Y,(m/s),4.7,Y,(m/s)
2024-03-02,62,2,metric,93624,daily,10.7, ,(C),13.2, ,(C),8.8, ,(C),8.2, ,(C),1.29, ,(mm),5, ,(mm),84, ,(%),98, ,(%),69, ,(%),14.3, ,(C),101, ,(W./sq.m),1.1, ,(kPa),277.5, ,(m/s),3.2, ,(m/s)
2024-03-03,63,2,metric,93624,daily,10.5, ,(C),15.5, ,(C),6, ,(C),7.2, ,(C),2.29, ,(mm),1, ,(mm),80, ,(%),100, ,(%),53, ,(%),14.1, ,(C),183, ,(W./sq.m),1, ,(kPa),117.3, ,(m/s),1.4, ,(m/s)
2024-03-04,64,2,metric,93624,daily,9.9, ,(C),15.5, ,(C),3.4, ,(C),6.1, ,(C),2.61, ,(mm),0.1, ,(mm),77, ,(%),100, ,(%),52, ,(%),14.2, ,(C),194, ,(W./sq.m),0.9, ,(kPa),135, ,(m/s),1.6, ,(m/s)
2024-03-05,65,2,metric,93624,daily,13.4, ,(C),18.9, ,(C),7.8, ,(C),6.8, ,(C),3, ,(mm),0, ,(mm),64, ,(%),100, ,(%),46, ,(%),14.4, ,(C),164, ,(W./sq.m),1, ,(kPa),120.9, ,(m/s),1.4, ,(m/s)
2024-03-06,66,2,metric,93624,daily,11.3, ,(C),18.7, ,(C),6, ,(C),8.6, ,(C),2.11, ,(mm),3.2, ,(mm),84, ,(%),99, ,(%),54, ,(%),14.5, ,(C),154, ,(W./sq.m),1.1, ,(kPa),160.9, ,(m/s),1.9, ,(m/s)
2024-03-07,67,2,metric,93624,daily,11.9, ,(C),17.4, ,(C),8.1, ,(C),9, ,(C),3.09, ,(mm),0, ,(mm),83, ,(%),99, ,(%),62, ,(%),14.6, ,(C),212, ,(W./sq.m),1.1, ,(kPa),246.1, ,(m/s),2.8, ,(m/s)
2024-03-08,68,2,metric,93624,daily,11.7, ,(C),19.3, ,(C),3.9, ,(C),5.6, ,(C),3.25, ,(mm),0, ,(mm),66, ,(%),99, ,(%),39, ,(%),14.5, ,(C),236, ,(W./sq.m),0.9, ,(kPa),133.1, ,(m/s),1.5, ,(m/s)
2024-03-09,69,2,metric,93624,daily,12.1, ,(C),20, ,(C),5.2, ,(C),8.3, ,(C),3.31, ,(mm),0, ,(mm),78, ,(%),99, ,(%),51, ,(%),14.8, ,(C),230, ,(W./sq.m),1.1, ,(kPa),206.2, ,(m/s),2.4, ,(m/s)
2024-03-10,70,2,metric,93624,daily,12.8, ,(C),20.2, ,(C),7, ,(C),9.2, ,(C),2.93, ,(mm),0, ,(mm),79, ,(%),99, ,(%),52, ,(%),15, ,(C),198, ,(W./sq.m),1.2, ,(kPa),178.4, ,(m/s),2.1, ,(m/s)
2024-03-11,71,2,metric,93624,daily,13.2, ,(C),20.1, ,(C),5.4, ,(C),6.6, ,(C),3.49, ,(mm),0, ,(mm),64, ,(%),97, ,(%),40, ,(%),15.4, ,(C),237, ,(W./sq.m),1, ,(kPa),176.4, ,(m/s),2, ,(m/s)
2024-03-12,72,2,metric,93624,daily,13.4, ,(C),19.5, ,(C),8.7, ,(C),9.4, ,(C),2.63, ,(mm),0.5, ,(mm),77, ,(%),99, ,(%),59, ,(%),15.7, ,(C),171, ,(W./sq.m),1.2, ,(kPa),243.3, ,(m/s),2.8, ,(m/s)
2024-03-13,73,2,metric,93624,daily,11.4, ,(C),18.1, ,(C),5.5, ,(C),5.5, ,(C),4.01, ,(mm),0, ,(mm),67, ,(%),99, ,(%),46, ,(%),15.5, ,(C),226, ,(W./sq.m),0.9, ,(kPa),363, ,(m/s),4.2, ,(m/s)
2024-03-14,74,2,metric,93624,daily,12.5, ,(C),19.9, ,(C),4.7, ,(C),1.4, ,(C),5.02, ,(mm),0.2,H,(mm),47, ,(%),81, ,(%),23, ,(%),15, ,(C),254,R,(W./sq.m),0.7, ,(kPa),395.6, ,(m/s),4.6, ,(m/s)
2024-03-15,75,2,metric,93624,daily,13, ,(C),21.4, ,(C),5.3, ,(C),1.5, ,(C),4.06, ,(mm),0, ,(mm),46, ,(%),71, ,(%),27, ,(%),15, ,(C),253, ,(W./sq.m),0.7, ,(kPa),194.5, ,(m/s),2.3, ,(m/s)
2024-03-16,76,2,metric,93624,daily,13.1, ,(C),22.6, ,(C),2.9, ,(C),3.1, ,(C),4.21, ,(mm),0, ,(mm),51, ,(%),84, ,(%),26, ,(%),15.3, ,(C),257,R,(W./sq.m),0.8, ,(kPa),163.9, ,(m/s),1.9, ,(m/s)
2024-03-17,77,2,metric,93624,daily,14.4, ,(C),23.2, ,(C),5.3, ,(C),4.1, ,(C),4.16, ,(mm),0, ,(mm),50, ,(%),82, ,(%),29, ,(%),15.6, ,(C),253, ,(W./sq.m),0.8, ,(kPa),147.1, ,(m/s),1.7, ,(m/s)
2024-03-18,78,2,metric,93624,daily,15.7, ,(C),25, ,(C),5.5, ,(C),6.9, ,(C),4.18, ,(mm),0, ,(mm),56, ,(%),87, ,(%),33, ,(%),16, ,(C),251, ,(W./sq.m),1, ,(kPa),140.1, ,(m/s),1.6, ,(m/s)
2024-03-19,79,2,metric,93624,daily,16.8, ,(C),26.3, ,(C),7.5, ,(C),8, ,(C),4.56, ,(mm),0, ,(mm),56, ,(%),91, ,(%),28, ,(%),16.5, ,(C),257, ,(W./sq.m),1.1, ,(kPa),173.5, ,(m/s),2, ,(m/s)
2024-03-20,80,2,metric,93624,daily,16.8, ,(C),26, ,(C),7.9, ,(C),3.2, ,(C),5.14, ,(mm),0, ,(mm),40, ,(%),74, ,(%),19, ,(%),16.8, ,(C),262, ,(W./sq.m),0.8, ,(kPa),230.4, ,(m/s),2.7, ,(m/s)
2024-03-21,81,2,metric,93624,daily,15.3, ,(C),23.3, ,(C),7.6, ,(C),6, ,(C),4.22, ,(mm),0, ,(mm),54, ,(%),79, ,(%),34, ,(%),16.9, ,(C),250, ,(W./sq.m),0.9, ,(kPa),223.7, ,(m/s),2.6, ,(m/s)
2024-03-22,82,2,metric,93624,daily,16.9, ,(C),26.1, ,(C),8.8, ,(C),7.8, ,(C),5.14, ,(mm),0, ,(mm),55, ,(%),83, ,(%),24, ,(%),17.1,Y,(C),257, ,(W./sq.m),1.1, ,(kPa),288.9, ,(m/s),3.3, ,(m/s)
2024-03-23,83,2,metric,93624,daily,11.8, ,(C),17.7, ,(C),6.1, ,(C),8.4, ,(C),2.13, ,(mm),1.1, ,(mm),80, ,(%),99, ,(%),50, ,(%),17.2,Y,(C),146, ,(W./sq.m),1.1, ,(kPa),232.2, ,(m/s),2.7, ,(m/s)
2024-03-24,84,2,metric,93624,daily,9.9, ,(C),16.6, ,(C),4.2, ,(C),6.9, ,(C),2.33, ,(mm),1.2,H,(mm),82, ,(%),100, ,(%),57, ,(%),16.5, ,(C),164, ,(W./sq.m),1, ,(kPa),204.7, ,(m/s),2.4, ,(m/s)
2024-03-25,85,2,metric,93624,daily,11.2, ,(C),19.3, ,(C),3.5, ,(C),6.2, ,(C),3.42, ,(mm),0, ,(mm),71, ,(%),99, ,(%),46, ,(%),15.9, ,(C),217, ,(W./sq.m),0.9, ,(kPa),161.2, ,(m/s),1.9, ,(m/s)
