CIMIS Station Number,Date of Image,"Description of Turf (good, poor, bad)",Area of green lawn immediately around station (m2),Maximum amount of green lawn (m2),Notes,"Use 360 Meter Polygon = 45 m around point of interest.360 is 8,100meters^2",,,,,,Total area of lawn surrounding station (m2)
68,03/2015,bad,2997,6430,,,,,,,,
68,06/2015,bad,0,6430,,,,,,,,
68,09/2015,bad,315.2,6430,,,,,,,,
68,05/2016,bad,326.1,6430,blurry,,,,,,,
68,06/2016,bad,326.1,6430,same as 05/2016,,,,,,,
68,11/2016,poor,3716.6,6430,ask about poor or bad,,,,,,,
68,10/2019,NA,NA,6430,white screen,,,,,,,
68,01/2021,bad,0,6430,,,,,,,,
68,02/2022,bad,0,6430,,,,,,,,
87,03/2003,good,5180,5325,,,,,,,,
87,02/2004,bad,0,5325,,,,,,,,
87,08/2005,good,5325,5325,blurry,,,,,,,
87,12/2005,bad,0,5325,has two images one poor one bad,,,,,,,
87,08/2006,NA,NA,5325,to blurry cant determine,,,,,,,
87,02/2008,bad,0,5325,,,,,,,,
87,06/2009,good,5210,5325,?,,,,,,,
87,09/2010,bad,5179,5325,,,,,,,,
87,06/2012,good,5325,5325,good or poor,,,,,,,
87,03/2014,poor,4948,5325,,,,,,,,
87,06/2014,bad,211.9,5325,,,,,,,,
87,07/2014,bad,0,5325,,,,,,,,
87,12/2014,bad,197,5325,,,,,,,,
87,03/2015,good,5215,5325,good or poor,,,,,,,
87,06/2015,bad,0,5325,,,,,,,,
87,07/2015,poor,4945,5325,blurry grass sor of green ,,,,,,,
87,09/2015,poor,4959.4,5325,,,,,,,,
87,05/2016,poor,5032,5325,greenish ,,,,,,,
87,06/2016,poor,5061,5325,greenish ,,,,,,,
87,09/2016,good,5108,5325,looks very green some patches ,,,,,,,
87,10/2016,poor,5096,5325,,,,,,,,
87,03/2017,bad,0,5325,two images,,,,,,,
87,08/2017,good,5250,5325,looks very green some patches ,,,,,,,
87,10/2017,poor,3816,5325,,,,,,,,
87,12/2019,NA,NA,5325,to blurry,,,,,,,
87,08/2020,NA,NA,5325,to blurry,,,,,,,
87,10/2020,NA,NA,5325,to blurry/hazzy,,,,,,,
87,02/2022,bad,0,5325,,,,,,,,
87,04/2023,bad,0,5325,,,,,,,,
184,01/2003,NA,NA,8100,to blurry and two images,,,,,,,
184,02/2003,NA,NA,8100,to blurry ,,,,,,,
184,03/2003,poor,6891.9,8100,,,,,,,,
184,09/2003,bad,2425,8100,,,,,,,,
184,12/2003,poor,6865,8100,,,,,,,,
184,04/2004,good,7895,8100,two patches,,,,,,,
184,05/2004,poor,7278.5,8100,blurry,,,,,,,
184,06/2005,poor,6548,8100,,,,,,,,
184,06/2004,poor,7235.1,8100,,,,,,,,
184,07/2004,poor,6838,8100,blurry,,,,,,,
184,09/2004,bad,3198,8100,,,,,,,,
184,12/2004,poor,6383,8100,,,,,,,,
184,03/2005,NA,NA,8100,blurry,,,,,,,
184,07/2005,poor,6086,8100,,,,,,,,
184,08/2005,NA,NA,8100,,,,,,,,
184,10/2005,poor,6179,8100,,,,,,,,
184,11/2005,poor,6579,8100,,,,,,,,
184,12/2005,good,8011,8100,blurry,,,,,,,
184,01/2006,poor,6566,8100,,,,,,,,
184,05/2007,poor,6633,8100,,,,,,,,
184,01/2008,good,7598,8100,could be good,,,,,,,
184,03/3008,good,7673,8100,,,,,,,,
184,06/2009,bad,5999,8100,blurry,,,,,,,
184,08/2010,bad,4752,8100,,,,,,,,
184,09/2010,NA,NA,8100,,,,,,,,
184,10/2012,good,8056,8100,,,,,,,,
184,11/2012,poor,8055,8100,Green becoming dry.two images,,,,,,,
184,09/2013,bad,6045,8100,blurry,,,,,,,
184,11/2013,poor,7704,8100,,,,,,,,
184,01/2014,NA,NA,8100,hazzy,,,,,,,
184,05/2014,good,7818,8100,ask,,,,,,,
184,12/2014,good,7849.7,8100,,,,,,,,
184,01/2015,NA,NA,8100,blurry,,,,,,,
184,04/2015,poor,7565.2,8100,,,,,,,,
184,07/2015,NA,NA,8100,,,,,,,,
184,03/2016,good,8081,8100,getting lighter green,,,,,,,
184,11/2016,bad,5908,8100,,,,,,,,
184,08/2017,bad,5251,8100,,,,,,,,
184,12/2017,poor,6852,8100,,,,,,,,
184,08/2018,poor,7413.9,8100,,,,,,,,
184,11/2018,poor,7302,8100,,,,,,,,
184,08/2019,bad,5571.6,8100,,,,,,,,
184,03/2020,NA,NA,8100,,,,,,,,
184,03/2020,NA,NA,8100,blurry,,,,,,,
184,04/2020,NA,NA,8100,,,,,,,,
184,12/2020,bad,4972,8100,,,,,,,,
184,07/2021,poor,6834,8100,grass coming back in,,,,,,,
184,12/2021,poor,7728.6,8100,,,,,,,,
184,07/2022,NA,NA,8100,,,,,,,,
184,08/2022,NA,NA,8100,,,,,,,,
150,01/2003,NA,NA,5283,two images,,,,,,,
150,03/2003,good,5283,5283,,,,,,,,
150,12/2003,good,5018.85,5283,,,,,,,,
150,05/2004,good,4754.7,5283,,,,,,,,
150,06/2004,poor,4226.4,5283,two images,,,,,,,
150,07/2004,poor,3962.25,5283,,,,,,,,
150,05/2005,good,5177.34,5283,,,,,,,,
150,08/2005,poor,3433.95,5283,,,,,,,,
150,11/2005,poor,4226.4,5283,,,,,,,,
150,12/2005,NA,3698.1,5283,,,,,,,,
150,01/2006,good,5071.68,5283,,,,,,,,
150,05/2007,poor,4226.4,5283,,,,,,,,
150,02/2008,poor,3592.44,5283,,,,,,,,
150,03/2008,poor,4226.4,5283,,,,,,,,
150,06/2009,NA,NA,5283,,,,,,,,
150,08/2010,bad,2641.5,5283,,,,,,,,
150,09/2010,NA,NA,5283,,,,,,,,
150,10/2012,good,4754.7,5283,,,,,,,,
150,11/2012,poor,4543.38,5283,,,,,,,,
150,11/2013,poor,3698.1,5283,,,,,,,,
150,01/2014,NA,NA,5283,,,,,,,,
150,05/2014,bad,2641.5,5283,,,,,,,,
150,07/2014,NA,NA,5283,,,,,,,,
150,10/2014,NA,NA,5283,,,,,,,,
150,12/2014,good,5018.85,5283,,,,,,,,
150,01/2015,poor,4226.4,5283,,,,,,,,
150,04/2015,poor,3962.25,5283,,,,,,,,
150,03/2016,good,5177.34,5283,,,,,,,,
150,11/2016,poor,2641.5,5283,,,,,,,,
150,08/2017,bad,1056.6,5283,,,,,,,,
150,12/2017,bad,2377.35,5283,,,,,,,,
150,08/2018,bad,2113.2,5283,,,,,,,,
150,08/2019,poor,2641.5,5283,,,,,,,,
150,12/2019,good,5177.34,5283,,,,,,,,
150,03/2020,NA,NA,5283,two images both blurry,,,,,,,
150,12/2020,bad,1849.05,5283,,,,,,,,
150,07/2021,bad,1584.9,5283,,,,,,,,
150,12/2021,poor,3169.8,5283,,,,,,,,
150,07/2022,bad,2113.2,5283,,,,,,,,
150,08/2022,bad,2641.5,5283,,,,,,,,
150,04/2023,bad,2641.5,5283,,,,,,,,
173,01/2003,good,NA,7750,,,,,,,,
173,03/2003,good,7517.5,7750,two images,,,,,,,
173,12/2003,good,7595,7750,,,,,,,,
173,05/2004,good,NA,7750,,,,,,,,
173,06/2004,,NA,7750,,,,,,,,
173,05/2004,,NA,7750,,,,,,,,
173,08/2005,,NA,7750,,,,,,,,
173,12/2005,,NA,7750,,,,,,,,
173,01/2006,good,7750,7750,,,,,,,,
173,05/2007,poor,5425,7750,,,,,,,,
173,01/2008,good,7750,7750,,,,,,,,
173,02/2008,good,7750,7750,,,,,,,,
173,03/2008,good,7750,7750,,,,,,,,
173,06/2009,NA,NA,7750,,,,,,,,
173,08/2010,poor,5425,7750,,,,,,,,
173,09/2010,NA,NA,7750,,,,,,,,
173,10/2012,poor,6200,7750,,,,,,,,
173,11/2012,good,7362.5,7750,,,,,,,,
173,11/2013,poor,6355,7750,,,,,,,,
173,05/2014,bad,5037.5,7750,,,,,,,,
173,12/2014,good,7285,7750,,,,,,,,
173,02/2015,good,7750,7750,,,,,,,,
173,04/2015,poor,5425,7750,,,,,,,,
173,03/2016,good,7750,7750,,,,,,,,
173,11/2016,bad,5425,7750,,,,,,,,
173,08/2017,NA,NA,7750,,,,,,,,
173,12/2017,bad,5425,7750,,,,,,,,
173,08/2018,NA,NA,7750,clouds,,,,,,,
173,08/2019,poor,6587.5,7750,,,,,,,,
173,12/2019,NA,NA,7750,,,,,,,,
173,03/2020,NA,NA,7750,,,,,,,,
173,12/2020,good,7672.5,7750,,,,,,,,
173,07/2021,bad,3875,7750,,,,,,,,
173,08/2021,bad,3875,7750,,,,,,,,
173,02/2022,poor,6200,7750,,,,,,,,
173,07/2022,NA,NA,7750,cloud,,,,,,,
173,08/2022,NA,NA,7750,blurry,,,,,,,
181,01/2003,good,8100,8100,,,,,,,,
181,7.2005,NA,NA,8100,,,,,,,,
181,08/2005,good,8100,8100,,,,,,,,
181,12/2005,good,8100,8100,dark image,,,,,,,
181,01/2006,bad,0,8100,maybe start of season,,,,,,,
181,08/2006,good,8100,8100,all blurry green,,,,,,,
181,02/2008,bad,810,8100,not.a good image but looks bad,,,,,,,
181,06/2009,NA,NA,8100,,,,,,,,
181,09/2010,NA,NA,8100,,,,,,,,
181,05/2012,good,8100,8100,,,,,,,,
181,06/2012,good,8100,8100,looks green some dark may be image or plant,,,,,,,
181,03/2014,good,8100,8100,,,,,,,,
181,03/2015,good,8100,8100,,,,,,,,
181,03/2017,good,8100,8100,,,,,,,,
181,08/2017,bad,0,8100,,,,,,,,
181,10/2017,good,8100,8100,,,,,,,,
181,02/2019,good,8100,8100,,,,,,,,
181,10/2019,NA,NA,8100,white screen,,,,,,,
181,04/2020,good,8100,8100,,,,,,,,
181,08/2020,bad,0,8100,,,,,,,,
41,02/2004,bad,0,5969,,,,,,,,
41,08/2005,poor,4476.75,5969,,,,,,,,
41,12/2005,poor,5372.1,5969,,,,,,,,
41,08/2006,NA,NA,5969,,,,,,,,
41,02/2008,bad,0,5969,,,,,,,,
41,06/2009,good,5909.31,5969,,,,,,,,
41,09/2010,bad,0,5969,,,,,,,,
41,05/2012,bad,0,5969,not green grass bur has brwon grass,,,,,,,
41,06/2012,bad,0,5969,,,,,,,,
41,03/2014,bad,0,5969,,,,,,,,
41,03/2015,bad,0,5969,,,,,,,,
41,10/2016,poor,4775.2,5969,,,,,,,,
41,03/2017,bad,0,5969,,,,,,,,
41,08/2017,poor,5372.1,5969,two images,,,,,,,
41,10/2017,poor,895.35,5969,,,,,,,,
41,12/2019,bad,0,5969,,,,,,,,
41,02/2022,bad,0,5969,,,,,,,,
41,04/2023,bad,596.9,5969,,,,,,,,
153,10/2003,good,7776,8100,,,,,,,,
153,12/2003,good,8100,8100,blurry,,,,,,,
153,07/2004,poor,6480,8100,blurry,,,,,,,
153,08/2004,poor,7047,8100,blurry,,,,,,,
153,10/2005,good,8100,8100,blurry,,,,,,,
153,12/2005,poor,6966,8100,blurry,,,,,,,
153,02/2006,good,7857,8100,,,,,,,,
153,03/2008,poor,7128,8100,,,,,,,,
153,06/2009,NA,NA,8100,,,,,,,,
153,05/2010,NA,NA,8100,,,,,,,,
153,08/2010,bad,0,8100,,,,,,,,
153,09/2010,NA,NA,8100,,,,,,,,
153,10/2012,good,8019,8100,,,,,,,,
153,11/2013,poor,4050,8100,some green some brown,,,,,,,
153,05/2014,good,7209,8100,,,,,,,,
153,05/2014,NA,NA,8100,,,,,,,,
153,12/2014,good,7695,8100,two images ,,,,,,,
153,04/2015,poor,4860,8100,,,,,,,,
153,03/2016,bad,2835,8100,,,,,,,,
153,11/2016,bad,3078,8100,,,,,,,,
153,12/2017,bad,3078,8100,,,,,,,,
153,08/2018,bad,0,8100,,,,,,,,
153,08/2019,bad,0,8100,,,,,,,,
153,10/2019,good,7290,8100,,,,,,,,
153,03/2020,NA,NA,8100,,,,,,,,
153,12/2020,bad,0,8100,,,,,,,,
153,07/2021,bad,0,8100,,,,,,,,
153,03/2022,good,8100,8100,,,,,,,,
153,05/2023,good,8100,8100,,,,,,,,
175,09/2004,NA,NA,8100,Site is an agriculture field that is being worked ,,,,,,,
175,11/2004,bad,0,8100,,,,,,,,
175,08/2005,good,8100,8100,three images,,,,,,,
175,12/2005,NA,NA,8100,,,,,,,,
175,05/2006,good,8100,8100,,,,,,,,
175,08/2006,bad,0,8100,,,,,,,,
175,06/2007,NA,NA,8100,,,,,,,,
175,02/2008,good,7290,8100,rows of crops paths look like noe vegetation ,,,,,,,
175,06/2009,NA,NA,8100,,,,,,,,
175,09/2010,poor,4860,8100,low amount of crops ,,,,,,,
175,06/2011,goos,7128,8100,,,,,,,,
175,06/2012,poor,6075,8100,,,,,,,,
175,10/2012,good,8100,8100,,,,,,,,
175,03/2014,poor,4050,8100,field is still being worked,,,,,,,
175,05/2015,poor,4050,8100,,,,,,,,
175,03/2015,good,8100,8100,,,,,,,,
175,06/2017,bad,0,8100,field mounds takne off,,,,,,,
175,11/2017,bad,0,8100,,,,,,,,
175,10/2020,bad,2835,8100,,,,,,,,
175,01/2021,poor,6480,8100,,,,,,,,
151,11/2004,poor,0,8100,,,,,,,,
151,12/2005,good,8100,8100,,,,,,,,
151,08/2006,poor,0,8100,,,,,,,,
151,06/2009,good,8100,8100,,,,,,,,
151,06/2012,poor,5670,8100,,,,,,,,
151,10/2012,good,7938,8100,,,,,,,,
151,05/2014,bad,0,8100,,,,,,,,
151,06/2017,bad,0,8100,,,,,,,,
151,03/2018,bad,0,8100,,,,,,,,
151,12/2019,0,0,8100,,,,,,,,
151,10/2020,poor,6885,8100,,,,,,,,
151,11/2022,poor,4050,8100,,,,,,,,
236,7/2003,bad,2179,8100,blurry image,,,,,,,
236,7/2004,poor,0,8100,blurry image,,,,,,,
236,12/2005,poor,2814,8100,"lawn is dry, small patches of dark green",,,,,,,
236,8/2006,poor,4516,8100,"lawn is dry, small patches of dark green. Area around outside the perimeter have larger patches of green. 2 images",,,,,,,
236,6/2009,good,7799.2,8100,very small patches of dry areas,,,,,,,
236,3/2010,bad,0,8100,all dirt,,,,,,,
236,7/2012,n/a,n/a,8100,cloud covering site,,,,,,,
236,7/2014,poor,6032,8100,Ask about poor or good. Green with some patches,,,,,,,
236,8/2015,poor,5888,8100,"grass is very dry, with some patches",,,,,,,
236,7/2017,poor,1959,8100,might be watered/ maintained. one dark line of grass while the other id drying out,,,,,,,
236,5/2020,bad,0,8100,all dried out,,,,,,,
260,7/2003,n/a,n/a,8100,blurry image,,,,,,,
260,7/2004,n/a,n/a,8100,blurry image,,,,,,,
260,12/2005,poor,4722,8100,grass with dry areas,,,,,,,
260,8/2006,bad,1852,8100,2 images,,,,,,,
260,6/2009,good,8100,8100,,,,,,,,
260,3/2010,bad,2430,8100,,,,,,,,
260,7/2012,poor,4050,8100,,,,,,,,
260,7/2014,bad,1620,8100,Most of lawn dried out,,,,,,,
260,8/2016,good,6480,8100,small dry patches,,,,,,,
260,7/2017,poor,3240,8100,area drying out,,,,,,,
260,7/2021,bad,0,8100,"dried out, possible fire",,,,,,,
260,10/2021,poor,3240,8100,,,,,,,,
260,1/2022,bad,0,8100,,,,,,,,
260,7/2022,bad,0,8100,dry,,,,,,,
260,10/2022,bad,0,8100, some veg two black lines running through,,,,,,,
263,7/2003,good,8100,8100, blurry image,,,,,,,
263,7/2004,good,8100,8100,blurry image,,,,,,,
263,12/2004,good,8100,8100,,,,,,,,
263,8/2005,good,7290,8100,"blurry image, some dry patches",,,,,,,
263,12/2005,good,8100,8100,,,,,,,,
263,6/2009,good,8100,8100,,,,,,,,
263,4/2010,good,7290,8100,,,,,,,,
263,9/2010,good,8100,8100,,,,,,,,
263,6/2012,good,8100,8100,,,,,,,,
263,6/2013,good,8100,8100,,,,,,,,
263,7/2015,poor,1620,8100,maybe it was a dry year,,,,,,,
263,7/2016,good,8100,8100,,,,,,,,
263,8/2019,poor,7290,8100,"Sprinkler next to site, this could impact results",,,,,,,
263,10/2019,good,8100,8100,,,,,,,,
263,4/2021,good,7695,8100,possible golpher holes,,,,,,,
263,11/2022,poor,6885,8100,,,,,,,,
261,7/2003,good,4050,8100,blurry image,,,,,,,
261,7/2004,poor,3645,8100,blurry image,,,,,,,
261,12/2005,poor,3240,8100,,,,,,,,
261,8/2006,poor,3240,8100,2 images,,,,,,,
261,6/2009,good,4050,8100,,,,,,,,
261,6/2010,good,6885,8100,,,,,,,,
261,7/2012,good,5670,8100,,,,,,,,
261,7/2014,poor,3240,8100,,,,,,,,
261,8/2016,poor,2835,8100,,,,,,,,
261,7/2017,bad,1620,8100,,,,,,,,
261,7/2021,poor,3645,8100,,,,,,,,
261,10/2021,good,4860,8100,,,,,,,,
261,7/2022,poor,2430,8100,,,,,,,,
261,10/2022,good,6885,8100,,,,,,,,
225,7/2003,good,8100,8100,blurry ,,,,,,,
225,7/2004,good,8100,8100,possible trail/road created,,,,,,,
225,12/2005,good,7290,8100,"starting to dry out, visible trail/road created",,,,,,,
225,8/2006,poor,3645,8100,"drying out, 2 images",,,,,,,
225,6/2009,good,7695,8100,trail/road cuts into site,,,,,,,
225,6/2010,good,7695,8100,,,,,,,,
225,7/2012,good,6885,8100,"dry patches, possible sprinklers added on the lower right of the polygon",,,,,,,
225,7/2014,poor,4050,8100,,,,,,,,
225,8/2014,n/a,n/a,8100,black and white image,,,,,,,
225,8/2016,bad,1620,8100,portion/patches are dried off. A white spill?,,,,,,,
225,7/2017,good,7290,8100,"mostly green, some are just a different shade",,,,,,,
225,9/2019,bad,810,8100,dry year?,,,,,,,
225,8/2021,good,7695,8100,,,,,,,,
225,10/2021,poor,6480,8100,,,,,,,,
225,7/2022,poor,4860,8100,,,,,,,,
90,7/2003,good,8100,8100,blurry image,,,,,,,
90,7/2004,good,8100,8100,light shade of green,,,,,,,
90,8/2005,good,8100,8100,,,,,,,,
90,12/2005,good,8100,8100,,,,,,,,
90,8/2006,bad,3240,8100,maybe the farm was tilled. 2 images,,,,,,,
90,6/2009,good,8100,8100,,,,,,,,
90,9/2010,good,7938,8100,,,,,,,,
90,7/2012,bad,1620,8100,possible dry year,,,,,,,
90,4/2015,bad,1215,8100,,,,,,,,
90,6/2020,good,6075,8100,,,,,,,,
43,7/2004,good,6468.3,7187,blurry image,,,,,,,
43,8/2005,good,5749.6,7187,,,,,,,,
43,12/2005,good,5749.6,7187,,,,,,,,
43,8/2006,poor,4312.2,7187,2 images,,,,,,,
43,6/2009,poor,2874.8,7187,,,,,,,,
43,9/2010,bad,0,7187,completely dry,,,,,,,
43,7/2012,bad,718.7,7187,,,,,,,,
43,2/2014,bad,0,7187,,,,,,,,
43,7/2014,poor,2874.8,7187,,,,,,,,
43,9/2016,poor,3593.5,7187,,,,,,,,
43,8/2017,poor,3234.15,7187,,,,,,,,
43,2/2020,bad,0,7187,,,,,,,,
43,6/2021,good,6827.65,7187,,,,,,,,
43,7/2022,bad,718.7,7187,,,,,,,,
207,09/2003,good,8100,8100,blurry,,,,,,,
207,12/2003,good,7938,8100,blurry,,,,,,,
207,03/2004,good,7857,8100,blurry,,,,,,,
207,10/2004,good,7938,8100,blurry,,,,,,,
207,12/2005,good,8100,8100,blurry,,,,,,,
207,02/2006,good,8100,8100,blurry,,,,,,,
207,06/2009,good,7614,8100,blurry,,,,,,,
207,09/2010,poor,5427,8100,blurry,,,,,,,
207,08/2014,poor,6885,8100,,,,,,,,
207,10/2016,poor,5265,8100,,,,,,,,
207,06/2017,bad,3888,8100,,,,,,,,
207,09/2018,bad,4050,8100,,,,,,,,
207,04/2020,bad,810,8100,,,,,,,,
207,08/2021,bad,3240,8100,,,,,,,,
207,05/2022,poor,5265,8100,,,,,,,,
207,04/2023,poor,6075,8100,,,,,,,,
136,10/2004,bad,0,769,,,,,,,,
136,11/2004,good,769,769,,,,,,,,
136,12/2005,good,769,769,,,,,,,,
136,01/2006,good,769,769,,,,,,,,
136,08/2006,NA,NA,769,,,,,,,,
136,06/2009,NA,NA,769,,,,,,,,
136,08/2011,NA,NA,769,,,,,,,,
136,05/2012,good,769,769,,,,,,,,
136,03/2013,good,730.55,769,,,,,,,,
136,08/2014,poor,669.03,769,,,,,,,,
136,10/2016,good,769,769,,,,,,,,
136,06/2017,good,769,769,,,,,,,,
136,09/2018,poor,676.72,769,,,,,,,,
136,08/2021,good,769,769,,,,,,,,
136,05/2022,good,730.55,769,,,,,,,,
136,04/2023,bad,0,769,,,,,,,,
218,10/2004,good,8100,8100,ASK about FLOATING POLYGON,,,,,,,
218,11/2004,good,8100,8100,,,,,,,,
218,12/2005,bad,0,8100,,,,,,,,
218,01/2006,good,8100,8100,,,,,,,,
218,08/2006,bad,0,8100,,,,,,,,
218,06/2009,poor,7290,8100,,,,,,,,
218,06/2011,good,8100,8100,,,,,,,,
218,08/2011,bad,0,8100,,,,,,,,
218,09/2011,poor,8100,8100,,,,,,,,
218,05/2011,bad,810,8100,,,,,,,,
218,11/2012,bad,0,8100,,,,,,,,
218,03/2013,bad,0,8100,,,,,,,,
218,04/2014,NA,NA,8100,,,,,,,,
218,03/2015,good,7695,8100,,,,,,,,
218,07/2016,good,7290,8100,,,,,,,,
218,04/2017,good,8100,8100,,,,,,,,
218,02/2018,bad,4050,8100,some vegetation seems just planted,,,,,,,
218,08/2018,poor,6885,8100,,,,,,,,
218,12/2019,bad,3645,8100,,,,,,,,
218,06/2021,bad,0,8100,,,,,,,,
218,04/3023,bad,0,8100,,,,,,,,
208,11/2004,good,7155,7155,two images,,,,,,,
208,12/2005,NA,NA,7155,pixilated,,,,,,,
208,01/2006,good,7155,7155,two images,,,,,,,
208,08/2006,NA,NA,7155,pixiilated,,,,,,,
208,06/2009,NA,NA,7155,blurry,,,,,,,
208,06/2011,poor,5008.5,7155,,,,,,,,
208,08/2011,NA,NA,7155,,,,,,,,
208,09/2011,poor,5366.25,7155,,,,,,,,
208,11/2012,good,7155,7155,,,,,,,,
208,03/2013,good,6797.25,7155,,,,,,,,
208,04/2014,NA,NA,7155,discolred+3 images,,,,,,,
208,03/2015,bad,3577.5,7155,,,,,,,,
208,07/2016,bad,3577.5,7155,,,,,,,,
208,04/2017,good,6868.8,7155,,,,,,,,
208,02/2018,good,7155,7155,,,,,,,,
208,08/2018,good,7083.45,7155,,,,,,,,
208,12/2019,good,7155,7155,,,,,,,,
208,06/2021,good,6582.6,7155,,,,,,,,
208,04/2023,good,7155,7155,,,,,,,,
200,11/2004,bad,3966.5,7933,two images,,,,,,,
200,12/2005,NA,NA,7933,pixilated,,,,,,,
200,01/2006,good,7933,7933,two images,,,,,,,
200,08/2006,NA,NA,7933,pixilated,,,,,,,
200,06/2009,NA,NA,7933,pixilated,,,,,,,
200,06/2011,poor,6743.05,7933,,,,,,,,
200,08/2011,good,7615.68,7933,twoimages,,,,,,,
200,11/2012,bad,1189.95,7933,,,,,,,,
200,03/2013,bad,3728.51,7933,,,,,,,,
200,03/2015,bad,3966.5,7933,,,,,,,,
200,07/2015,bad,3807.84,7933,,,,,,,,
200,04/2017,good,7774.34,7933,,,,,,,,
200,02/2018,bad,3966.5,7933,,,,,,,,
200,08/2018,poor,6346.4,7933,,,,,,,,
200,12/2019,bad,1824.59,7933,,,,,,,,
200,06/2021,poor,6743.05,7933,,,,,,,,
