," NDVI (Landsat 5/7/8/9 SR) at California, 2003-01-01 to 2022-08-08"
"2007-07-29",0.6919
"2007-08-13",0.7472
"2007-08-14",0.7429
"2007-08-21",0.6977
"2007-08-22",0.6638
"2007-08-29",0.7091
"2007-09-06",0.631
"2007-09-15",0.7839
"2007-09-30",0.5445
"2007-10-24",0.671
"2007-11-02",0.6589
"2007-12-11",0.7409
"2008-01-28",0.6843
"2008-02-05",0.543
"2008-02-13",0.6471
"2008-02-14",0.7558
"2008-02-22",0.7629
"2008-03-08",0.673
"2008-03-09",0.8188
"2008-03-16",0.8504
"2008-03-17",0.8367
"2008-03-24",0.8112
"2008-03-25",0.8628
"2008-04-09",0.79
"2008-04-17",0.7962
"2008-04-18",0.8006
"2008-04-25",0.7636
"2008-04-26",0.7917
"2008-05-03",0.7523
"2008-05-04",0.7097
"2008-05-11",0.6626
"2008-05-19",0.7438
"2008-05-20",0.6851
"2008-05-27",0.4442
"2008-06-13",0.5484
"2008-06-28",0.4653
"2008-07-06",0.6102
"2008-07-07",0.597
"2008-07-14",0.6283
"2008-07-23",0.7128
"2008-07-30",0.7169
"2008-08-07",0.6342
"2008-08-08",0.5669
"2008-08-15",0.6303
"2008-08-24",0.739
"2008-08-31",0.7282
"2008-09-01",0.7456
"2008-09-08",0.7028
"2008-09-25",0.6199
"2008-10-10",0.5717
"2008-10-11",0.5433
"2008-10-18",0.4512
"2008-10-19",0.5145
"2008-12-22",0.6368
"2008-12-29",0.6285
"2009-01-14",0.6795
"2009-01-15",0.7128
"2009-01-30",0.6788
"2009-01-31",0.7083
"2009-02-24",0.8191
"2009-03-04",0.822
"2009-03-11",0.8409
"2009-03-12",0.8665
"2009-03-20",0.8738
"2009-03-27",0.8725
"2009-03-28",0.8789
"2009-04-05",0.8367
"2009-04-12",0.8426
"2009-04-13",0.6576
"2009-04-20",0.8615
"2009-05-07",0.7692
"2009-05-14",0.7134
"2009-05-15",0.7432
"2009-05-22",0.6663
"2009-06-07",0.2945
"2009-06-08",0.3109
"2009-06-15",0.3172
"2009-06-23",0.4288
"2009-06-24",0.4115
"2009-07-01",0.4788
"2009-07-02",0.5157
"2009-07-09",0.6217
"2009-07-10",0.5925
"2009-07-17",0.55
"2009-07-18",0.5797
"2009-07-25",0.6731
"2009-07-26",0.6496
"2009-08-02",0.6775
"2009-08-03",0.6961
"2009-08-10",0.5892
"2009-08-11",0.5067
"2009-08-18",0.5935
"2009-08-19",0.6607
"2009-08-27",0.5867
"2009-09-03",0.6618
"2009-09-19",0.7174
"2009-09-27",0.6295
"2009-09-28",0.6489
"2009-10-05",0.6068
"2009-10-21",0.6035
"2009-10-22",0.5962
"2009-10-30",0.7016
"2009-11-07",0.7573
"2009-11-14",0.6873
"2009-11-15",0.6709
"2009-11-22",0.1687
"2009-11-23",0.6519
"2009-11-30",0.4804
"2009-12-01",0.4806
"2009-12-09",0.3156
"2009-12-25",0.3404
"2010-02-02",0.3638
"2010-03-07",0.7978
"2010-03-14",0.7573
"2010-03-15",0.7995
"2010-03-23",0.7742
"2010-03-30",0.8387
"2010-04-07",0.8946
"2010-04-08",0.8136
"2010-04-15",0.8046
"2010-04-23",0.8637
"2010-04-24",0.8579
"2010-05-01",0.8599
"2010-05-02",0.877
"2010-06-02",0.5573
"2010-06-10",0.5624
"2010-06-11",0.4251
"2010-06-18",0.2846
"2010-06-19",0.3242
"2010-06-27",0.3203
"2010-07-04",0.3185
"2010-07-05",0.3301
"2010-07-20",0.3035
"2010-07-21",0.3326
"2010-07-29",0.3885
"2010-08-05",0.4013
"2010-08-13",0.4636
"2010-08-14",0.4571
"2010-08-29",0.4652
"2010-08-30",0.4715
"2010-09-06",0.4551
"2010-09-07",0.4391
"2010-09-14",0.4718
"2010-09-22",0.499
"2010-09-30",0.5027
"2010-10-01",0.442
"2010-10-08",0.4425
"2010-10-25",0.4193
"2010-11-01",0.5747
"2010-11-10",0.6428
"2010-11-17",0.6232
"2010-11-25",0.6789
"2011-01-04",0.8392
"2011-01-05",0.8082
"2011-01-21",0.8349
"2011-02-06",0.846
"2011-02-13",0.4479
"2011-02-21",0.8553
"2011-03-01",0.809
"2011-04-03",0.8933
"2011-04-10",0.8879
"2011-04-27",0.7836
"2011-05-04",0.7818
"2011-05-05",0.7849
"2011-05-12",0.7507
"2011-05-13",0.7475
"2011-05-20",0.6942
"2011-05-21",0.6971
"2011-05-29",0.6448
"2011-06-13",0.3071
"2011-06-14",0.3352
"2011-06-21",0.3261
"2011-06-30",0.3483
"2011-07-07",0.2937
"2011-07-08",0.3068
"2011-07-15",0.3369
"2011-07-23",0.3903
"2011-07-31",0.3906
"2011-08-01",0.402
"2011-08-08",0.444
"2011-08-09",0.4212
"2011-08-16",0.4208
"2011-08-17",0.4213
"2011-08-24",0.4273
"2011-08-25",0.4045
"2011-09-01",0.391
"2011-09-02",0.4275
"2011-09-09",0.4477
"2011-09-10",0.4638
"2011-09-17",0.4705
"2011-09-18",0.5077
"2011-09-26",0.4426
"2011-10-04",0.4683
"2011-10-12",0.625
"2011-10-27",0.247
"2011-11-12",0.2517
"2011-12-06",0.2495
"2011-12-22",0.2376
"2011-12-31",0.2421
"2012-01-07",0.2803
"2012-01-16",0.3005
"2012-02-08",0.6364
"2012-02-17",0.7065
"2012-02-24",0.7514
"2012-03-04",0.8051
"2012-03-11",0.6542
"2012-04-21",0.8804
"2012-04-28",0.8723
"2012-05-07",0.8369
"2012-05-23",0.3526
"2012-05-30",0.4486
"2012-07-10",0.6816
"2012-08-02",0.8131
"2012-08-11",0.7369
"2012-08-18",0.7732
"2012-08-27",0.7765
"2012-09-03",0.6781
"2012-09-19",0.6001
"2012-09-28",0.621
"2012-10-14",0.68
"2013-01-02",0.81
"2013-01-25",0.7376
"2013-02-19",0.8047
"2013-03-23",0.8382
"2013-04-08",0.8912
"2013-04-09",0.8888
"2013-04-15",0.8655
"2013-04-16",0.8781
"2013-04-23",0.8496
"2013-04-24",0.8241
"2013-05-01",0.8045
"2013-05-10",0.7404
"2013-05-17",0.4057
"2013-05-25",0.3634
"2013-05-26",0.3094
"2013-06-02",0.4187
"2013-06-03",0.4244
"2013-06-11",0.4195
"2013-06-18",0.4234
"2013-06-19",0.4921
"2013-07-04",0.5294
"2013-07-05",0.5762
"2013-07-12",0.4569
"2013-07-13",0.4066
"2013-07-21",0.5246
"2013-07-28",0.6497
"2013-07-29",0.5853
"2013-08-05",0.5029
"2013-08-06",0.5351
"2013-08-13",0.607
"2013-08-22",0.6222
"2013-08-29",0.6597
"2013-08-30",0.6032
"2013-09-06",0.4397
"2013-09-07",0.4731
"2013-09-14",0.4994
"2013-09-15",0.4775
"2013-09-22",0.5828
"2013-09-23",0.5969
"2013-09-30",0.4563
"2013-10-09",0.4872
"2013-10-16",0.531
"2013-10-17",0.4974
"2013-10-25",0.553
"2013-11-01",0.4545
"2013-11-10",0.4573
"2013-11-25",0.4858
"2013-12-04",0.5261
"2013-12-11",0.4612
"2013-12-12",0.4728
"2013-12-19",0.4429
"2013-12-20",0.4626
"2013-12-28",0.4353
"2014-01-04",0.4303
"2014-01-05",0.3704
"2014-01-12",0.4352
"2014-01-13",0.4404
"2014-01-20",0.4268
"2014-02-21",0.6925
"2014-03-01",0.792
"2014-03-10",0.8321
"2014-03-17",0.8475
"2014-03-18",0.8538
"2014-04-10",0.8814
"2014-04-18",0.8318
"2014-04-19",0.8509
"2014-04-26",0.5776
"2014-05-05",0.7942
"2014-05-12",0.7992
"2014-05-13",0.7487
"2014-05-20",0.4679
"2014-05-21",0.466
"2014-05-28",0.373
"2014-05-29",0.3164
"2014-06-05",0.3296
"2014-06-06",0.363
"2014-06-13",0.4407
"2014-06-14",0.3632
"2014-06-22",0.4351
"2014-06-29",0.533
"2014-06-30",0.4792
"2014-07-08",0.547
"2014-07-24",0.5181
"2014-07-31",0.4826
"2014-08-01",0.5398
"2014-08-09",0.5895
"2014-08-16",0.6723
"2014-08-17",0.5777
"2014-08-24",0.5334
"2014-09-01",0.5576
"2014-09-02",0.4838
"2014-09-10",0.5398
"2014-09-17",0.4071
"2014-09-25",0.3636
"2014-10-03",0.4931
"2014-10-12",0.5724
"2014-10-19",0.5266
"2014-10-27",0.3334
"2014-10-28",0.5983
"2014-12-23",0.7066
"2014-12-31",0.6992
"2015-01-07",0.6641
"2015-01-23",0.7698
"2015-01-31",0.8452
"2015-02-16",0.824
"2015-02-24",0.8646
"2015-02-25",0.8647
"2015-03-04",0.8293
"2015-03-05",0.8465
"2015-03-12",0.7623
"2015-03-21",0.8602
"2015-03-28",0.8791
"2015-03-29",0.8931
"2015-04-13",0.8377
"2015-04-22",0.806
"2015-04-29",0.5076
"2015-04-30",0.4452
"2015-05-08",0.4079
"2015-05-24",0.5259
"2015-05-31",0.5831
"2015-06-01",0.5425
"2015-06-08",0.5913
"2015-06-16",0.6374
"2015-06-17",0.5517
"2015-06-24",0.5963
"2015-06-25",0.6015
"2015-07-03",0.5652
"2015-07-11",0.503
"2015-07-18",0.5482
"2015-07-27",0.5121
"2015-08-03",0.4297
"2015-08-12",0.4554
"2015-08-19",0.4824
"2015-08-27",0.4835
"2015-09-04",0.4396
"2015-09-20",0.4834
"2015-09-21",0.4436
"2015-09-28",0.3549
"2015-09-29",0.3847
"2015-10-06",0.4311
"2015-10-15",0.4854
"2015-10-22",0.5413
"2015-10-30",0.4005
"2015-10-31",0.4459
"2015-11-07",0.4378
"2015-11-15",0.3992
"2015-11-16",0.4076
"2015-11-23",0.4108
"2015-11-24",0.4327
"2015-12-01",0.4046
"2015-12-10",0.5088
"2015-12-25",0.6985
"2015-12-26",0.6943
"2016-01-10",0.6834
"2016-01-11",0.0409
"2016-01-27",0.7937
"2016-02-03",0.7785
"2016-02-04",0.8222
"2016-02-20",0.8276
"2016-02-27",0.8553
"2016-03-15",0.8838
"2016-03-22",0.8827
"2016-03-30",0.8653
"2016-03-31",0.868
"2016-04-15",0.8415
"2016-04-16",0.828
"2016-04-24",0.8314
"2016-05-01",0.772
"2016-05-10",0.6964
"2016-05-17",0.4497
"2016-05-18",0.3478
"2016-05-26",0.3247
"2016-06-02",0.3209
"2016-06-18",0.3486
"2016-06-19",0.3045
"2016-06-27",0.3627
"2016-07-04",0.2916
"2016-07-12",0.2646
"2016-07-13",0.3057
"2016-07-20",0.3502
"2016-07-21",0.303
"2016-07-29",0.3429
"2016-08-05",0.3339
"2016-08-13",0.3351
"2016-08-14",0.3759
"2016-08-21",0.4153
"2016-08-22",0.381
"2016-08-29",0.315
"2016-08-30",0.3687
"2016-09-06",0.3588
"2016-09-07",0.3303
"2016-09-14",0.3226
"2016-09-15",0.3767
"2016-09-22",0.4319
"2016-09-23",0.4028
"2016-09-30",0.3998
"2016-10-01",0.4658
"2016-10-08",0.547
"2016-10-09",0.5395
"2016-10-17",0.7294
"2016-11-02",0.8213
"2016-11-09",0.855
"2016-11-10",0.7312
"2016-11-18",0.8344
"2016-12-03",0.8159
"2016-12-12",0.71
"2016-12-19",0.8524
"2016-12-20",0.8303
"2016-12-27",0.8301
"2016-12-28",0.8434
"2017-01-05",0.8035
"2017-01-13",0.7907
"2017-01-21",0.6469
"2017-01-28",0.8433
"2017-03-01",0.8713
"2017-03-02",0.8407
"2017-03-09",0.7147
"2017-03-17",0.8969
"2017-03-25",0.7499
"2017-04-02",0.864
"2017-04-27",0.7878
"2017-05-04",0.7408
"2017-05-05",0.7111
"2017-05-13",0.6727
"2017-05-20",0.64
"2017-05-21",0.5538
"2017-06-05",0.3423
"2017-06-06",0.271
"2017-06-14",0.4087
"2017-06-21",0.4244
"2017-06-22",0.3592
"2017-06-29",0.3735
"2017-06-30",0.3914
"2017-07-07",0.3568
"2017-07-08",0.3038
"2017-07-16",0.3706
"2017-07-23",0.4061
"2017-07-24",0.3402
"2017-07-31",0.2737
"2017-08-01",0.3226
"2017-08-08",0.3616
"2017-08-09",0.3094
"2017-08-16",0.3703
"2017-08-17",0.4392
"2017-08-24",0.5068
"2017-08-25",0.4681
"2017-09-01",0.3315
"2017-09-02",0.3806
"2017-09-09",0.4976
"2017-09-25",0.5106
"2017-09-26",0.4757
"2017-10-03",0.478
"2017-10-04",0.5513
"2017-10-11",0.4432
"2017-10-12",0.4303
"2017-10-27",0.4886
"2017-10-28",0.4266
"2017-11-05",0.4849
"2017-11-21",0.7162
"2017-11-28",0.8165
"2017-11-29",0.8596
"2017-12-06",0.822
"2017-12-07",0.8435
"2017-12-14",0.8188
"2018-01-23",0.8245
"2018-01-31",0.8961
"2018-02-09",0.8899
"2018-02-16",0.9057
"2018-02-17",0.9129
"2018-02-25",0.8725
"2018-03-04",0.8668
"2018-03-05",0.8476
"2018-03-28",0.8088
"2018-03-29",0.8189
"2018-04-13",0.8043
"2018-04-14",0.8111
"2018-04-21",0.8121
"2018-05-07",0.7774
"2018-05-08",0.7305
"2018-06-01",0.3318
"2018-06-08",0.3319
"2018-06-16",0.2604
"2018-06-17",0.3096
"2018-06-24",0.323
"2018-06-25",0.2567
"2018-07-03",0.3093
"2018-07-10",0.3414
"2018-07-11",0.3197
"2018-07-19",0.4178
"2018-07-26",0.4089
"2018-07-27",0.349
"2018-08-03",0.4007
"2018-08-04",0.437
"2018-08-11",0.5262
"2018-08-12",0.5149
"2018-08-19",0.5894
"2018-08-20",0.6411
"2018-09-04",0.555
"2018-09-05",0.5929
"2018-09-12",0.5252
"2018-09-13",0.5896
"2018-09-21",0.5003
"2018-09-28",0.5398
"2018-10-07",0.6551
"2018-10-14",0.7019
"2018-10-30",0.6075
"2018-10-31",0.5501
"2018-11-07",0.5297
"2018-11-08",0.5282
"2018-11-15",0.402
"2018-11-24",0.502
"2018-12-02",0.5722
"2018-12-17",0.5342
"2018-12-26",0.7575
"2019-01-02",0.7803
"2019-01-03",0.7789
"2019-02-19",-0.6396
"2019-02-28",-0.504
"2019-03-08",-0.1456
"2019-03-15",0.3738
"2019-03-16",0.3924
"2019-03-23",0.3576
"2019-03-31",0.3456
"2019-04-09",0.3907
"2019-04-17",0.3342
"2019-04-24",0.363
"2019-05-02",0.4356
"2019-05-03",0.4326
"2019-05-10",0.5649
"2019-05-11",0.5279
"2019-05-27",0.7135
"2019-06-03",0.7474
"2019-06-04",0.7373
"2019-06-11",0.6995
"2019-06-12",0.6594
"2019-06-20",0.6172
"2019-06-28",0.5451
"2019-07-05",0.5233
"2019-07-06",0.5483
"2019-07-21",0.5346
"2019-07-22",0.5457
"2019-07-29",0.5755
"2019-07-30",0.5324
"2019-08-07",0.5005
"2019-08-14",0.5088
"2019-08-15",0.4626
"2019-08-23",0.5078
"2019-08-30",0.5391
"2019-08-31",0.4919
"2019-09-08",0.551
"2019-09-15",0.565
"2019-09-16",0.4861
"2019-09-24",0.5272
"2019-10-01",0.5476
"2019-10-09",0.5685
"2019-10-10",0.5645
"2019-10-17",0.5851
"2019-10-26",0.5575
"2019-11-02",0.5683
"2019-11-03",0.4902
"2019-11-18",0.5295
"2019-11-19",0.4754
"2020-01-05",0.6881
"2020-01-06",0.7193
"2020-02-06",0.8539
"2020-02-07",0.8526
"2020-02-15",0.8482
"2020-02-22",0.8562
"2020-03-02",0.8779
"2020-03-09",0.8589
"2020-03-10",0.8829
"2020-03-26",0.8778
"2020-04-03",0.8631
"2020-04-26",0.7722
"2020-05-05",0.6501
"2020-05-20",0.474
"2020-05-21",0.4887
"2020-06-05",0.3189
"2020-06-06",0.3425
"2020-06-13",0.3
"2020-06-22",0.26
"2020-06-29",0.2698
"2020-07-08",0.2735
"2020-07-15",0.2816
"2020-07-16",0.2403
"2020-07-23",0.2484
"2020-07-24",0.2948
"2020-07-31",0.3127
"2020-08-01",0.2923
"2020-08-08",0.3065
"2020-08-09",0.3659
"2020-08-25",0.4207
"2020-09-01",0.4258
"2020-09-09",0.0531
"2020-09-17",0.5745
"2020-09-18",0.4298
"2020-09-25",0.5217
"2020-09-26",0.6651
"2020-10-03",0.6581
"2020-10-04",0.6479
"2020-10-11",0.6737
"2020-10-12",0.7096
"2020-10-19",0.6794
"2020-10-20",0.6393
"2020-10-27",0.6136
"2020-10-28",0.6155
"2020-11-05",0.5998
"2020-11-12",0.5485
"2020-11-20",0.416
"2020-11-28",0.2599
"2020-12-06",0.3207
"2020-12-07",0.2606
"2020-12-22",0.3105
"2020-12-23",0.2531
"2020-12-31",0.3257
"2021-01-23",0.5973
"2021-02-01",0.6574
"2021-02-17",0.818
"2021-02-24",0.8507
"2021-02-25",0.8207
"2021-03-04",0.8354
"2021-03-05",0.7881
"2021-03-12",0.8582
"2021-03-21",0.8491
"2021-03-28",0.875
"2021-03-29",0.865
"2021-04-06",0.8372
"2021-04-13",0.823
"2021-04-14",0.8127
"2021-04-21",0.7658
"2021-04-29",0.7028
"2021-05-07",0.6791
"2021-05-08",0.6693
"2021-05-15",0.5608
"2021-05-23",0.4358
"2021-05-24",0.4369
"2021-05-31",0.4165
"2021-06-01",0.3837
"2021-06-08",0.3502
"2021-06-09",0.3747
"2021-06-16",0.3798
"2021-06-17",0.3564
"2021-06-25",0.4007
"2021-07-03",0.3685
"2021-07-10",0.3995
"2021-07-11",0.4207
"2021-07-18",0.4021
"2021-07-26",0.3193
"2021-08-03",0.422
"2021-08-04",0.37
"2021-08-11",0.426
"2021-08-19",0.4291
"2021-08-28",0.4934
"2021-09-04",0.5466
"2021-09-05",0.5204
"2021-09-12",0.5241
"2021-09-13",0.5279
"2021-09-20",0.5217
"2021-09-21",0.4256
"2021-09-28",0.3757
"2021-09-29",0.3839
"2021-10-15",0.3543
"2021-10-22",0.4141
"2021-10-23",0.1679
"2021-11-07",0.721
"2021-12-01",0.6896
"2021-12-02",0.6931
"2021-12-09",0.6262
"2021-12-10",0.6252
"2021-12-18",0.5398
"2022-01-02",0.5416
"2022-01-10",0.6459
"2022-01-11",0.7275
"2022-01-18",0.7113
"2022-01-26",0.7335
"2022-01-27",0.83
"2022-02-03",0.6584
"2022-02-04",0.7603
"2022-02-11",0.8047
"2022-02-12",0.8047
"2022-02-19",0.8195
"2022-02-27",0.824
"2022-02-28",0.865
"2022-03-07",0.8497
"2022-03-08",0.8335
"2022-03-16",0.843
"2022-03-23",0.851
"2022-03-24",0.821
"2022-03-31",0.834
"2022-04-01",0.8303
"2022-04-08",0.8022
"2022-04-09",0.8132
"2022-04-16",0.7887
"2022-04-17",0.7692
"2022-04-24",0.7335
"2022-04-25",0.7531
"2022-05-03",0.6897
"2022-05-10",0.6488
"2022-05-11",0.6478
"2022-05-18",0.5753
"2022-05-19",0.5601
"2022-05-21",0.5521
"2022-06-11",0.3636
"2022-06-12",0.3783
"2022-06-19",0.3506
"2022-06-20",0.3537
"2022-06-27",0.434
"2022-06-28",0.3962
"2022-07-11",0.4291
"2022-07-14",0.4661
"2022-07-21",0.5212
"2022-07-22",0.5425
"2022-07-23",0.5746
"2022-07-29",0.5631
"2022-07-30",0.5649
"2022-08-06",0.5962
"2022-08-07",0.6338
